;Zone;Population 2018;Différence population (%);Disponibilité en protéines par habitant (g/personne);Disponibilité en calories par habitant (kcal/personne);Proportion protéine animale (%);Proportion protéine volailles / prot animale(%);PIB par habitant;Cluster
127;Sao Tomé-et-Principe;211028.0;1.902080747890986;19885.199999999997;893155.0;30.451541850220266;19.951778179626285;3944.8;4
128;Arabie saoudite;33702756.0;1.8173884380372218;31718.500000000007;1207055.0;37.675489067894134;38.48503359804521;47596.7;1
129;Sénégal;15854323.0;2.8209221462246687;22706.649999999994;930020.0;22.006108342710178;11.029948867786706;3314.8;3
130;Sierra Leone;7650150.0;2.1596937032002455;18615.0;864320.0;22.470588235294116;11.256544502617801;1663.3;3
131;Slovénie;2077837.0;0.06949548110812356;35153.15000000001;1165810.0;53.17204859308481;16.578793204452257;38022.1;2
132;Slovaquie;5453014.0;0.09387103287506172;25904.049999999996;1047550.0;52.71241369592784;12.91098636728147;32067.4;1
133;Afrique du Sud;57792518.0;1.3730316614580889;30795.049999999992;1056675.0;42.716605428469826;42.286348501664826;12630.8;1
134;Espagne;46692858.0;0.09739014978489337;39160.850000000006;1213260.0;62.186597073352615;18.690047961630693;40328.9;2
135;Suriname;575990.0;0.9630216513349837;22140.899999999994;983310.0;40.71876030333003;40.5668016194332;16609.4;4
136;Tadjikistan;9100835.0;2.4837876514537522;19793.950000000004;769055.0;23.06841231790522;8.633093525179856;3234.7;3
137;Eswatini;1136281.0;1.0202657349496034;22564.30000000001;884395.0;28.227110967324492;13.868194842406877;8606.1;0
138;Suède;9971638.0;0.6738283774004309;38514.8;1161430.0;63.99734647460197;10.676736265363544;53146.5;2
139;Suisse;8525610.999999998;0.8255513018040493;34784.5;1224575.0;62.801678908709334;10.65998329156224;68479.4;2
140;Turkménistan;5850901.0;1.6193017067503277;32328.050000000007;1033680.0;40.39742576493168;4.415874790385691;14845.3;0
141;République-Unie de Tanzanie;56313437.99999999;3.0243116494392526;21513.10000000001;865050.0;20.59721750933153;3.953871499176276;2590.0;3
