Series Name,Series Code,Country Name,Country Code,2008 [YR2008]
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108397
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,3591977
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,21892146
"Population, total",SP.POP.TOTL,Zambia,ZMB,12848530
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,12379549
"Population, total",SP.POP.TOTL,Arab World,ARB,338395961
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,6878970
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,105001883
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2820636595
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2177119142
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1938057249
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1913718210
"Population, total",SP.POP.TOTL,Euro area,EMU,334274725
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,880932060
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,373854743
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,436828082
"Population, total",SP.POP.TOTL,European Union,EUU,439876674
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,616786947
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,590590368
"Population, total",SP.POP.TOTL,High income,HIC,1163465942
"Population, total",SP.POP.TOTL,IBRD only,IBD,4340127618
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,5643704018
"Population, total",SP.POP.TOTL,IDA blend,IDB,434469613
"Population, total",SP.POP.TOTL,IDA only,IDX,869106787
"Population, total",SP.POP.TOTL,IDA total,IDA,1303576400
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2154348075
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,576783742
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,546848929
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,560624659
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,798563392
"Population, total",SP.POP.TOTL,Low & middle income,LMY,5593554888
"Population, total",SP.POP.TOTL,Low income,LIC,503324676
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2468136919
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,369823252
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,321168767
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,317576790
"Population, total",SP.POP.TOTL,Middle income,MIC,5090230212
"Population, total",SP.POP.TOTL,North America,NAC,337406357
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1270059584
"Population, total",SP.POP.TOTL,Other small states,OSS,24762406
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2157454
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1064394156
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,691447610
"Population, total",SP.POP.TOTL,Small states,SST,33798830
"Population, total",SP.POP.TOTL,South Asia,SAS,1592010819
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1592010819
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,822945458
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,821614381
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,822945458
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2622093293
"Population, total",SP.POP.TOTL,World,WLD,6757020830
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 05/25/2021,,,,
